Year, Average Unique Words Per Song, Average Song Length, Average Word Length Per Song, Word Length CV, Unique to Total Ratio, Unique Words CV, Four, Five, Six, Seven, Eight
1950,76.8333333333,215.625,4.11505041766,0.539615951771,0.389154814929,0.436795784284,45.4166666667,28.0416666667,17.875,10.75,5.29166666667
1951,64.7307692308,159.038461538,3.9566319752,0.459221538495,0.423595867612,0.267631095898,39.0384615385,22.9230769231,11.9615384615,6.73076923077,3.38461538462
1952,58.8695652174,151.347826087,3.93378057159,0.466970678962,0.424681827422,0.382838114703,36.347826087,20.4782608696,10.7391304348,6.47826086957,2.86956521739
1953,71.1052631579,166.789473684,3.95501042235,0.466044402215,0.446288514215,0.403158305452,41.4210526316,24.1052631579,11.0,6.10526315789,3.68421052632
1954,65.2857142857,159.476190476,3.98186055348,0.440770513742,0.449903100171,0.384726441347,43.4761904762,21.3333333333,12.3333333333,6.19047619048,3.85714285714
1955,67.1052631579,142.842105263,3.89421051133,0.456910127126,0.482653708723,0.403987811054,32.7894736842,18.9473684211,10.3157894737,6.31578947368,4.0
1956,77.3684210526,198.0,4.0871286863,0.455369257251,0.405868778573,0.440079799578,55.6315789474,23.7368421053,14.3157894737,9.26315789474,5.0
1957,71.3333333333,201.266666667,3.9671436532,0.466463101674,0.389306307904,0.594997634738,48.9333333333,25.7,11.5333333333,9.5,2.93333333333
1958,71.4838709677,185.548387097,3.89431119649,0.446913744764,0.416767896769,0.321915100305,48.3870967742,23.6129032258,12.5161290323,7.29032258065,3.35483870968
1959,69.0,182.074074074,3.71074971371,0.437997207769,0.391432295456,0.391055764862,52.2962962963,21.4814814815,10.7407407407,6.25925925926,2.44444444444
1960,70.5,168.0,4.30879248334,0.451168854598,0.455313355966,0.508173061568,45.1333333333,23.5666666667,11.2666666667,8.06666666667,2.13333333333
1961,68.1304347826,190.217391304,3.92663569887,0.460711983735,0.395696022283,0.272413750005,53.2173913043,19.8260869565,12.347826087,9.08695652174,3.5652173913
1962,64.5,177.307692308,4.19758787904,0.423804307891,0.402013047215,0.346657204629,48.0384615385,22.3461538462,16.3076923077,6.34615384615,2.23076923077
1963,63.2,178.2,4.66427077802,0.436417591759,0.392043193423,0.382034250091,50.08,20.8,13.64,4.88,3.28
1964,64.8214285714,198.035714286,4.10101321908,0.413512501192,0.359971427463,0.392058543356,55.4285714286,24.4642857143,14.0,5.35714285714,2.96428571429
1965,77.0333333333,203.266666667,4.12212963044,0.445431205555,0.408303236583,0.389621815215,54.0666666667,25.0333333333,13.1666666667,6.66666666667,4.13333333333
1966,78.9230769231,216.961538462,3.95376450595,0.464124890141,0.386963383102,0.276861455017,59.9615384615,27.8846153846,14.1923076923,6.53846153846,3.61538461538
1967,80.3125,210.78125,3.82570879455,0.448428122133,0.398663362163,0.347265746606,59.4375,23.875,12.25,8.4375,5.1875
1968,80.90625,212.90625,4.13236514374,0.449882081546,0.416026698694,0.382290837691,59.03125,24.8125,14.0625,8.3125,4.0625
1969,82.5,231.75,3.88221629173,0.461391421958,0.375494161046,0.497615987744,57.9375,26.8125,13.5,8.75,4.375
1970,95.76,264.68,3.85888931035,0.462305902285,0.368316728369,0.341952986634,63.32,33.84,17.12,8.4,5.56
1971,92.1935483871,238.129032258,3.86700869505,0.447713569797,0.392543809711,0.283698205763,62.8709677419,31.0322580645,16.5161290323,9.29032258065,3.64516129032
1972,89.6333333333,252.6,4.08634387076,0.446907321525,0.382734056763,0.576831270957,62.5666666667,34.8666666667,14.8,8.2,5.16666666667
1973,88.2727272727,263.636363636,4.16434853506,0.451205074125,0.363354225629,0.408734474246,70.6060606061,34.0909090909,14.7575757576,10.9090909091,4.30303030303
1974,80.0625,246.375,4.10388513564,0.445375923079,0.357642432147,0.454811816826,67.625,26.25,17.46875,8.59375,4.25
1975,83.6486486486,230.972972973,3.90519269792,0.46814200033,0.391733544773,0.440398507863,62.0540540541,25.8108108108,17.8378378378,9.78378378378,5.02702702703
1976,72.1666666667,250.266666667,4.12240737873,0.439256017706,0.335775533493,0.498782178887,68.9666666667,31.2,15.6666666667,9.06666666667,2.36666666667
1977,85.3666666667,257.833333333,3.85634578793,0.459898863986,0.377151604852,0.304890997602,67.9666666667,29.6666666667,13.8333333333,15.8666666667,3.93333333333
1978,85.5833333333,271.111111111,3.80194048401,0.445037862644,0.34111103949,0.311153239746,72.0833333333,34.5,17.6111111111,9.91666666667,2.83333333333
1979,90.1515151515,282.212121212,3.91215118079,0.476961643232,0.339143725851,0.275728205591,77.1818181818,35.7272727273,17.0,11.0,4.12121212121
1980,87.4848484848,256.909090909,3.82920960668,0.430992210119,0.353915839148,0.405823541374,69.696969697,30.303030303,17.1212121212,12.0909090909,3.75757575758
1981,94.9473684211,265.710526316,3.85353521076,0.447936973459,0.370970558035,0.274027173622,73.9736842105,31.4736842105,15.9736842105,12.2894736842,4.31578947368
1982,89.0588235294,264.088235294,4.02234886063,0.432096264937,0.37240725871,0.319800981522,75.6764705882,29.5588235294,14.4411764706,9.55882352941,4.0
1983,95.6764705882,316.294117647,3.9067403745,0.456441574188,0.325074509041,0.242677776701,82.4705882353,41.3235294118,24.7058823529,10.8235294118,6.67647058824
1984,96.0526315789,292.894736842,4.02445115372,0.503801344627,0.341362765226,0.235802411473,78.6842105263,37.6842105263,17.5263157895,12.2368421053,5.55263157895
1985,97.4358974359,327.102564103,4.05902147794,0.429825194612,0.338977127238,0.29948871482,85.8461538462,44.3076923077,21.2564102564,13.0256410256,5.0
1986,88.5,276.710526316,3.85483544359,0.449655786504,0.334806582798,0.207879058895,72.2894736842,35.9210526316,17.3157894737,12.9473684211,5.94736842105
1987,92.0833333333,285.944444444,3.86226854105,0.465173053486,0.329091850244,0.257947128686,78.2777777778,33.4444444444,15.6944444444,11.3055555556,6.72222222222
1988,96.8205128205,305.871794872,3.90070236303,0.466846952971,0.343419479982,0.22705444077,86.641025641,37.9487179487,17.5384615385,10.1538461538,5.94871794872
1989,103.131578947,323.105263158,3.78710492516,0.474998734006,0.349489062541,0.334741645051,87.7894736842,34.2894736842,17.0263157895,11.9210526316,5.18421052632
1990,102.710526316,335.342105263,3.8133637678,0.459453775131,0.325144554227,0.382730422821,89.0263157895,40.8157894737,18.2368421053,12.6315789474,6.55263157895
1991,95.2692307692,290.461538462,3.87193512188,0.46502674925,0.334281137887,0.197224599109,78.5769230769,37.3846153846,13.4615384615,11.8846153846,5.96153846154
1992,118.939393939,358.393939394,3.71415536575,0.470977280104,0.357666527142,0.418328432492,97.1515151515,45.8181818182,19.4848484848,11.0303030303,5.87878787879
1993,121.78125,381.84375,3.79359452753,0.465389196207,0.332618128803,0.47532374454,106.125,43.5,20.15625,15.96875,6.25
1994,110.361111111,316.722222222,3.76270274176,0.45931002726,0.356149643304,0.496948555368,84.0833333333,38.4444444444,17.9722222222,12.3888888889,4.38888888889
1995,124.179487179,376.538461538,3.72432292928,0.466447698508,0.345016487667,0.512859918671,98.0769230769,42.3076923077,19.6923076923,14.2820512821,6.53846153846
1996,122.666666667,371.545454545,3.83419258875,0.467013172926,0.342853044073,0.412591415816,93.2727272727,45.0606060606,21.7878787879,13.5454545455,7.18181818182
1997,127.540540541,404.486486486,3.72395602975,0.470007572101,0.321186509544,0.467226423162,101.054054054,48.1891891892,23.5135135135,15.7297297297,5.40540540541
1998,124.25,403.78125,3.75791746818,0.464771468335,0.342543488356,0.530287024721,108.75,51.40625,19.46875,15.6875,5.96875
1999,114.272727273,378.333333333,3.85998431966,0.451486599793,0.315942611169,0.382378329746,107.181818182,49.7272727273,20.5151515152,13.0303030303,6.48484848485
2000,107.631578947,393.842105263,3.77195697264,0.451163901462,0.31030420333,0.363876286205,106.631578947,50.8947368421,24.7631578947,13.8421052632,5.57894736842
2001,127.157894737,388.868421053,3.83154807755,0.479779465246,0.336838583071,0.559832516271,100.0,49.1315789474,21.3157894737,15.1842105263,7.5
2002,131.371428571,420.771428571,3.79537233162,0.467950466336,0.32077996986,0.439591388174,102.971428571,49.9714285714,25.6571428571,16.6571428571,6.48571428571
2003,165.64516129,548.935483871,3.7124570106,0.472488393885,0.308806208817,0.423322632224,147.935483871,59.2258064516,29.7741935484,18.3870967742,7.0
2004,149.72972973,457.243243243,3.75819337408,0.455803137994,0.330250085731,0.426207190733,120.378378378,50.972972973,28.2162162162,15.972972973,6.7027027027
